genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Oncorhynchus tshawytscha,Chinook salmon,trophicPosition,3.8,both,GoA,Aydin et al. 2007,,,
Oncorhynchus tshawytscha,Chinook salmon,firstMaturityLength,78.9,u,Kamchatka,Vronsky 2003,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,firstMaturityLength,85.4,u,Kamchatka,Vronsky 2003,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,firstMaturityAge,2.0-7.0,u,unknown,Drummond Sedgwick 1982,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,lengthMaximum,150,both,,,fishbase,TL,
Oncorhynchus tshawytscha,Chinook salmon,ageMaximum,9,both,,,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,adultWaterColumnPosition,benthopelagic,both,,,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,adultSlopeShelf,"ocean, coastal streams",both,,,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,migratoryStatus,anadromous,both,,,fishbase,,
Oncorhynchus tshawytscha,Chinook salmon,temperatureUpper,25,both,,,fishbase,,
Ophiodon elongatus,lingcod,diet,"F, C",both,GoA,,REEM Groundfish Diet Database,,
Ophiodon elongatus,lingcod,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Ophiodon elongatus,lingcod,trophicPosition,4.3,both,,fishbase,fishbase,,
Ophiodon elongatus,lingcod,lengthConversionFLtoTL,1,both,,fishbase,fishbase,,
Ophiodon elongatus,lingcod,firstMaturityLength,70-76,f,unknown,,fishbase,,
Ophiodon elongatus,lingcod,firstMaturityLength,46-51,m,unknown,,fishbase,,
Ophiodon elongatus,lingcod,firstMaturityLength,61-75,f,"British Columbia, Vancouver Island",,fishbase,,
Ophiodon elongatus,lingcod,firstMaturityLength,50,m,"British Columbia, Vancouver Island",,fishbase,TL,
Ophiodon elongatus,lingcod,firstMaturityAge,3.0-5.0,f,"British Columbia, Vancouver Island",,fishbase,,
Ophiodon elongatus,lingcod,lengthMaximum,152,both,,,fishbase,TL,
Ophiodon elongatus,lingcod,lengthMaximum,132,u,GoA,AFSC trawl survey,REEM,,
Ophiodon elongatus,lingcod,lengthMaximum,152,u,N Pacific,Shaw & Hassler 1989,REEM,,
Ophiodon elongatus,lingcod,ageMaximum,25,both,,,fishbase,,
Ophiodon elongatus,lingcod,ageMaximum,33,u,N SE Alaska,AFSC trawl survey,REEM,,
Ophiodon elongatus,lingcod,adultWaterColumnPosition,demersal,both,,,fishbase,,
Ophiodon elongatus,lingcod,adultSubstrate,rocky,both,,,fishbase,,
Ophiodon elongatus,lingcod,adultSlopeShelf,"inshore, intertidal, bays",both,,,fishbase,,
Ophiodon elongatus,lingcod,migratoryStatus,oceanadromous,both,,,fishbase,,
Ophiodon elongatus,lingcod,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Ophiodon elongatus,lingcod,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Ophiodon elongatus,lingcod,Linfinity,77,m,Strait of Georgia,Smith and McFarlane 1990 ,REEM,,
Ophiodon elongatus,lingcod,Linfinity,104,f,Strait of Georgia,Smith and McFarlane 1990 ,REEM,,
Ophiodon elongatus,lingcod,Linfinity,91,m,Strait of Georgia,Forrester 1973 ,REEM,,
Ophiodon elongatus,lingcod,Linfinity,115,f,Strait of Georgia,Forrester 1973 ,REEM,,
Ophiodon elongatus,lingcod,K,0.25,m,Strait of Georgia,Smith and McFarlane 1990 ,REEM,,
Ophiodon elongatus,lingcod,K,0.18,f,Strait of Georgia,Smith and McFarlane 1990 ,REEM,,
Ophiodon elongatus,lingcod,K,0.26,m,Strait of Georgia,Forrester 1973 ,REEM,,
Ophiodon elongatus,lingcod,K,0.16,f,Strait of Georgia,Forrester 1973 ,REEM,,
Ophiodon elongatus,lingcod,age50percentMaturity,3.8-4.5,f,British Columbia,Richards et al. 1990 ,REEM,,
Ophiodon elongatus,lingcod,age50percentMaturity,3.5-5.0,m,British Columbia,Richards et al. 1990 ,REEM,,
Ophiodon elongatus,lingcod,length50percentMaturity,83,f,SE Alaska,Gordon 1994 ,REEM,,
Ophiodon elongatus,lingcod,length50percentMaturity,69,f,"Queen Charlotte Islands, Sound",Cass et al. 1986 ,REEM,,
Ophiodon elongatus,lingcod,length50percentMaturity,64-67,f,British Columbia,Richards et al. 1990 ,REEM,,
Ophiodon elongatus,lingcod,length50percentMaturity,58-62,m,British Columbia,Richards et al. 1990 ,REEM,,
Parophrys vetulus,English sole,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Parophrys vetulus,English sole,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Parophrys vetulus,English sole,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Parophrys vetulus,English sole,firstMaturityLength,30-32,f,British Columbia,,fishbase,,
Parophrys vetulus,English sole,firstMaturityLength,22-23,m,British Columbia,,fishbase,,
Parophrys vetulus,English sole,firstMaturityAge,5.0-6.0,f,British Columbia,,fishbase,,
Parophrys vetulus,English sole,firstMaturityAge,3.0-4.0,m,British Columbia,,fishbase,,
Parophrys vetulus,English sole,lengthMaximum,57,both,,,fishbase,TL,
Parophrys vetulus,English sole,lengthMaximum,71,f,GoA,AFSC trawl survey,REEM,,
Parophrys vetulus,English sole,ageMaximum,22,both,,,fishbase,,
Parophrys vetulus,English sole,ageMaximum,22,u,British Columbia,Chilton & Beamish 1982,REEM,,
Parophrys vetulus,English sole,adultWaterColumnPosition,demersal,both,,,fishbase,,
Parophrys vetulus,English sole,adultSubstrate,"mud, sand",both,,,fishbase,,
Parophrys vetulus,English sole,migratoryStatus,oceanadromous,both,,,fishbase,,
Parophrys vetulus,English sole,depthRange,0-250,both,N Pacific,Allen & Smith 1988,REEM,,
Parophrys vetulus,English sole,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Parophrys vetulus,English sole,length50percentMaturity,33-35,f,Hecate Strait,Foucher et al. 1989,REEM,,
Parophrys vetulus,English sole,length50percentMaturity,31,f,Oregon,Harry 1959,REEM,,
Parophrys vetulus,English sole,Linfinity,30.7,m,Washington,,fishbase,TL,
Parophrys vetulus,English sole,Linfinity,41.6,f,Washington,,fishbase,TL,
Parophrys vetulus,English sole,K,0.35,m,Washington,,fishbase,,
Parophrys vetulus,English sole,K,0.24,f,Washington,,fishbase,,
Platichthys stellatus,starry flounder,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Platichthys stellatus,starry flounder,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Platichthys stellatus,starry flounder,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Platichthys stellatus,starry flounder,firstMaturityLength,35+,f,California,,fishbase,,
Platichthys stellatus,starry flounder,firstMaturityLength,30,m,California,,fishbase,,
Platichthys stellatus,starry flounder,firstMaturityAge,3+,f,California,,fishbase,,
Platichthys stellatus,starry flounder,firstMaturityAge,2+,m,California,,fishbase,,
Platichthys stellatus,starry flounder,lengthMaximum,91,both,,,fishbase,TL,
Platichthys stellatus,starry flounder,lengthMaximum,77,f,GoA,AFSC trawl survey,REEM,,
Platichthys stellatus,starry flounder,lengthMaximum,91,u,unknown,Eschmeyer et al. 1983,REEM,,
Platichthys stellatus,starry flounder,ageMaximum,24,both,,,fishbase,,
Platichthys stellatus,starry flounder,ageMaximum,21,u,E Bering,AFSC trawl survey,REEM,,
Platichthys stellatus,starry flounder,adultWaterColumnPosition,demersal,both,,,fishbase,,
Platichthys stellatus,starry flounder,adultSlopeShelf,"inshore, shallow, estuaries, rivers (summer), deep water (winter)",both,GoA,,2015 Stock Assessment,,
Platichthys stellatus,starry flounder,migratoryStatus,oceanadromous,both,GoA,,2015 Stock Assessment,,
Platichthys stellatus,starry flounder,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Platichthys stellatus,starry flounder,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Platichthys stellatus,starry flounder,age50percentMaturity,3,m,California,Orcutt 1950,REEM,,
Platichthys stellatus,starry flounder,age50percentMaturity,4,f,California,Orcutt 1950,REEM,,
Platichthys stellatus,starry flounder,length50percentMaturity,30,m,California,Orcutt 1950,REEM,,
Platichthys stellatus,starry flounder,length50percentMaturity,35,f,California,Orcutt 1950,REEM,,
Platichthys stellatus,starry flounder,Linfinity,44.3,u,Bering Sea,,fishbase,TL,
Platichthys stellatus,starry flounder,Linfinity,44.8,m,California,,fishbase,TL,
Platichthys stellatus,starry flounder,Linfinity,51,f,California,,fishbase,TL,
Platichthys stellatus,starry flounder,K,0.3,u,Bering Sea,,fishbase,,
Platichthys stellatus,starry flounder,K,0.23,m,California,,fishbase,,
Platichthys stellatus,starry flounder,K,0.19,f,California,,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Pleurogrammus monopterygius,Atka mackerel,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Pleurogrammus monopterygius,Atka mackerel,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Pleurogrammus monopterygius,Atka mackerel,lengthConversionFLtoTL,1.064,both,,fishbase,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,firstMaturityLength,32-34,u,Russia,,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,firstMaturityLength,31,f,Bering Sea & Aleutian Islands,Witherell 1996,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,firstMaturityLength,31,m,"NW Pacific, Russia",,fishbase,FL,
Pleurogrammus monopterygius,Atka mackerel,firstMaturityLength,34,f,"NW Pacific, Russia",,fishbase,FL,
Pleurogrammus monopterygius,Atka mackerel,lengthMaximum,56.5,both,,,fishbase,TL,
Pleurogrammus monopterygius,Atka mackerel,lengthMaximum,51,u,GoA,AFSC trawl survey,REEM,,
Pleurogrammus monopterygius,Atka mackerel,lengthMaximum,68,m,Aleutian Islands,AFSC trawl survey,REEM,,
Pleurogrammus monopterygius,Atka mackerel,ageMaximum,15,both,,,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,ageMaximum,14,f,GoA,AFSC trawl survey,REEM,,
Pleurogrammus monopterygius,Atka mackerel,K,0.22,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Pleurogrammus monopterygius,Atka mackerel,K,0.439,both,Aleutian Islands,Lowe et al. 2002 (AFSC trawl survey),REEM,,
Pleurogrammus monopterygius,Atka mackerel,Linfinity,54.56,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Pleurogrammus monopterygius,Atka mackerel,Linfinity,41.4,both,Aleutian Islands,Lowe et al. 2002 (AFSC trawl survey),REEM,,
Pleurogrammus monopterygius,Atka mackerel,adultWaterColumnPosition,demersal,both,,,fishbase,,
Pleurogrammus monopterygius,Atka mackerel,adultSlopeShelf,shelf,both,GoA,,2015 Stock Assessment,,
Pleurogrammus monopterygius,Atka mackerel,depthRange,0-300,both,N Pacific,Allen & Smith 1988,REEM,,
Pleurogrammus monopterygius,Atka mackerel,depthMax,300,both,N Pacific,Allen & Smith 1988,REEM,,
Pleurogrammus monopterygius,Atka mackerel,age50percentMaturity,3.6,f,GoA,McDermott & Lowe 1997,REEM,,
Pleurogrammus monopterygius,Atka mackerel,age50percentMaturity,3.6,f,Aleutian Islands,McDermott & Lowe 1997,REEM,,
Pleurogrammus monopterygius,Atka mackerel,age50percentMaturity,3.6,f,Bering Sea & Aleutian Islands,Witherell 2000,REEM,,
Pleurogrammus monopterygius,Atka mackerel,length50percentMaturity,38.24,f,GoA,McDermott & Lowe 1997,REEM,,
Pleurogrammus monopterygius,Atka mackerel,length50percentMaturity,33.55-35.91,f,Aleutian Islands,McDermott & Lowe 1997,REEM,,
Pleurogrammus monopterygius,Atka mackerel,length50percentMaturity,31,f,Bering Sea & Aleutian Islands,Witherell 2000,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Pleuronectes quadrituberculatus,Alaska plaice,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Pleuronectes quadrituberculatus,Alaska plaice,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityLength,20-21,both,Russia,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityLength,28-29,f,"NW Pacific, Russia",,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityLength,23-24,m,"NW Pacific, Russia",,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityLength,30,u,E Bering,Zhang 1987,fishbase,NG,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityAge,5.0-7.0,f,"NW Pacific, Russia",,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,firstMaturityAge,3.0-4.0,m,"NW Pacific, Russia",,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,lengthMaximum,87,both,,,fishbase,TL,
Pleuronectes quadrituberculatus,Alaska plaice,lengthMaximum,74,f,GoA,AFSC trawl survey,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,ageMaximum,37,both,,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,ageMaximum,35,m,GoA,AFSC trawl survey,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,ageMaximum,37,f,E Bering,AFSC trawl survey,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,adultWaterColumnPosition,demersal,both,,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,temperatureLower,3,both,,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,temperatureUpper,8,both,,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,age50percentMaturity,6.0-7.0,f,E Bering,"Zhang et al. 1998, Bakkala et al. 1993, Mito et al. 1999",REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,length50percentMaturity,31,f,E Bering,"Zhang et al. 1998, Bakkala et al. 1993, Mito et al. 1999",REEM,,
Pleuronectes quadrituberculatus,Alaska plaice,Linfinity,46.04,m,N Pacific,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,Linfinity,49.31,f,N Pacific,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,Linfinity,49.9,m,Bering Sea & Aleutian Islands,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,Linfinity,50.1,f,Bering Sea & Aleutian Islands,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,Linfinity,57,u,Bering Sea,,fishbase,TL,
Pleuronectes quadrituberculatus,Alaska plaice,K,0.15,m,N Pacific,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,K,0.14,f,N Pacific,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,K,0.06,m,Bering Sea & Aleutian Islands,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,K,0.127,f,Bering Sea & Aleutian Islands,,fishbase,,
Pleuronectes quadrituberculatus,Alaska plaice,K,0.099,u,Bering Sea,,fishbase,,
Podothecus accipenserinus,Sturgeon Poacher,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Podothecus accipenserinus,Sturgeon Poacher,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Podothecus accipenserinus,Sturgeon Poacher,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Podothecus accipenserinus,Sturgeon Poacher,lengthMaximum,30.5,both,,,fishbase,TL,
Podothecus accipenserinus,Sturgeon Poacher,lengthMaximum,28,u,GoA,AFSC trawl survey,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,lengthMaximum,33,u,Kamchatka,Tokranov 1992,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,ageMaximum,11,f,E Bering,Smith & Gillispie 1988,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,adultWaterColumnPosition,demersal,both,,,fishbase,,
Podothecus accipenserinus,Sturgeon Poacher,adultSubstrate,soft,both,,,fishbase,,
Podothecus accipenserinus,Sturgeon Poacher,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,depthRange,0-100,both,E Bering,Acuna & Kotwicki 2004,REEM,,
Podothecus accipenserinus,Sturgeon Poacher,depthMax,100,both,E Bering,Acuna & Kotwicki 2004,REEM,,
Raja binoculata,big skate,diet,G,both,GoA,,REEM Groundfish Diet Database,,
Raja binoculata,big skate,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Raja binoculata,big skate,trophicPosition,4.3,both,GoA,Aydin et al. 2007,,,
Raja binoculata,big skate,firstMaturityLength,130+,f,California,,fishbase,,
Raja binoculata,big skate,firstMaturityLength,105,m,California,,fishbase,TL,
Raja binoculata,big skate,lengthMaximum,244,both,,,fishbase,TL,
Raja binoculata,big skate,lengthMaximum,244,both,GoA,,2015 Stock Assessment,TL,
Raja binoculata,big skate,lengthMaximum,192,f,GoA,AFSC trawl survey,REEM,,
Raja binoculata,big skate,lengthMaximum,244,u,unknown,Eschmeyer et al. 1983,REEM,,
Raja binoculata,big skate,ageMaximum,15,both,GoA,Gburski et al. 2007,2015 Stock Assessment,,
Raja binoculata,big skate,ageMaximum,13,f,GoA,AFSC trawl survey,REEM,,
Raja binoculata,big skate,adultWaterColumnPosition,demersal,both,,,fishbase,,
Raja binoculata,big skate,adultSlopeShelf,shallow shelf,both,GoA,,2015 Stock Assessment,,
Raja binoculata,big skate,depthRange,0-100,both,GoA,,2015 Stock Assessment,,
Raja binoculata,big skate,depthMax,100,both,GoA,,2015 Stock Assessment,,
Raja binoculata,big skate,depthRange,0-350,both,N Pacific,Allen & Smith 1988,REEM,,
Raja binoculata,big skate,depthMax,350,both,N Pacific,Allen & Smith 1988,REEM,,
Raja binoculata,big skate,Linfinity,138.8,m,California,Zeiner and Wolf 1993 ,REEM,,
Raja binoculata,big skate,Linfinity,167.8,f,California,Zeiner and Wolf 1993 ,REEM,,
Raja binoculata,big skate,K,0.43,m,California,Zeiner and Wolf 1993 ,REEM,,
Raja binoculata,big skate,K,0.37,f,California,Zeiner and Wolf 1993 ,REEM,,
Raja rhina,longnose skate,diet,F,both,GoA,,REEM Groundfish Diet Database,,
Raja rhina,longnose skate,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Raja rhina,longnose skate,trophicPosition,4.7,both,GoA,Aydin et al. 2007,,,
Raja rhina,longnose skate,firstMaturityLength,67.8,m,California,,fishbase,TL,
Raja rhina,longnose skate,firstMaturityLength,90,f,California,,fishbase,TL,
Raja rhina,longnose skate,lengthMaximum,180,both,,,fishbase,TL,
Raja rhina,longnose skate,lengthMaximum,180,both,GoA,,2015 Stock Assessment,TL,
Raja rhina,longnose skate,lengthMaximum,180,f,GoA,AFSC trawl survey,REEM,,
Raja rhina,longnose skate,ageMaximum,13,both,,,fishbase,,
Raja rhina,longnose skate,ageMaximum,25,both,GoA,Gburski et al. 2007,2015 Stock Assessment,,
Raja rhina,longnose skate,ageMaximum,17,f,GoA,AFSC trawl survey,REEM,,
Raja rhina,longnose skate,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Raja rhina,longnose skate,adultSlopeShelf,shelf,both,GoA,,2015 Stock Assessment,,
Raja rhina,longnose skate,adultSubstrate,"sand, silt",both,,,fishbase,,
Raja rhina,longnose skate,depthRange,100-200,both,GoA,,2015 Stock Assessment,,
Raja rhina,longnose skate,depthMax,200,both,GoA,,2015 Stock Assessment,,
Raja rhina,longnose skate,depthRange,0-350,both,N Pacific,Allen & Smith 1988,REEM,,
Raja rhina,longnose skate,depthMax,350,both,N Pacific,Allen & Smith 1988,REEM,,
Raja rhina,longnose skate,Linfinity,96.7,m,California,Zeiner and Wolf 1993 ,REEM,,
Raja rhina,longnose skate,Linfinity,106.9,f,California,Zeiner and Wolf 1993 ,REEM,,
Raja rhina,longnose skate,K,0.25,m,California,Zeiner and Wolf 1993 ,REEM,,
Raja rhina,longnose skate,K,0.16,f,California,Zeiner and Wolf 1993 ,REEM,,
Sebastes group 2,,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,data are for Sebastes aleutianus
Sebastes group 2,,guild,P,both,GoA,,REEM Groundfish Diet Database,,data are for Sebastes aleutianus
Sebastes group 2,,trophicPosition,3.9,both,GoA,Aydin et al. 2007,,,data are for Sebastes aleutianus
Sebastes group 2,,lengthConversionFLtoTL,1.014,both,,,fishbase,,data are for Sebastes aleutianus
Sebastes group 2,,lengthConversionSLtoTL,1.161,both,,,fishbase,,data are for Sebastes aleutianus
Sebastes group 2,,firstMaturityLength,45,m,E North Pacific,Haldorson & Love 1991,fishbase,TL,data are for Sebastes aleutianus
Sebastes group 2,,firstMaturityLength,47,f,E North Pacific,Haldorson & Love 1991,fishbase,TL,data are for Sebastes aleutianus
Sebastes group 2,,lengthMaximum,97,both,,,fishbase,TL,data are for Sebastes aleutianus
Sebastes group 2,,lengthMaximum,98,u,GoA,AFSC trawl survey,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,ageMaximum,205,both,,,fishbase,,data are for Sebastes aleutianus
Sebastes group 2,,ageMaximum,132,m,GoA,AFSC trawl survey,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,ageMaximum,205,u,SE Alaska,"ADF&G Age Determination Unit web page, www.taglab.org/ADU/default.asp",REEM,,data are for Sebastes aleutianus
Sebastes group 2,,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,data are for Sebastes aleutianus
Sebastes group 2,,adultSlopeShelf,slope,both,GoA,,2015 Stock Assessment,,data are for Sebastes aleutianus
Sebastes group 2,,adultSubstrate,"rocky, coral, sponges",both,GoA,,2015 Stock Assessment,,data are for Sebastes aleutianus
Sebastes group 2,,depthRange,300-500,both,GoA,"Zenger and Sigler 1992, Ito 1999",2015 Stock Assessment,,data are for Sebastes aleutianus
Sebastes group 2,,depthMax,500,both,GoA,"Zenger and Sigler 1992, Ito 1999",2015 Stock Assessment,,data are for Sebastes aleutianus
Sebastes group 2,,depthRange,50-450,both,N Pacific,Allen & Smith 1988,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,depthMax,450,both,N Pacific,Allen & Smith 1988,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,depthRange,100-450,both,N Pacific,Orr et al. 1998,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,depthMax,450,both,N Pacific,Orr et al. 1998,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,age50percentMaturity,20,f,"E North Pacific (Oregon, BC, GoA)",McDermott 1994 ,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,length50percentMaturity,45,f,SE Alaska,Westrheim 1975 ,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,length50percentMaturity,43,m,SE Alaska,Westrheim 1975 ,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,length50percentMaturity,44,f,"E North Pacific (Oregon, BC, GoA)",McDermott 1994 ,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,length50percentMaturity,45,m,Vancouver Island,Harling et al. 1971 ,REEM,,data are for Sebastes aleutianus
Sebastes group 2,,length50percentMaturity,47,f,Vancouver Island,Harling et al. 1971 ,REEM,,data are for Sebastes aleutianus
Sebastes alutus,Pacific ocean perch,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Sebastes alutus,Pacific ocean perch,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Sebastes alutus,Pacific ocean perch,trophicPosition,3.6,both,GoA,Aydin et al. 2007,,,
Sebastes alutus,Pacific ocean perch,lengthConversionFLtoTL,1.035,both,,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,24.5-43.3,f,Queen Charlotte Sound,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,36.3+,u,"Washington, Queen Charlotte Islands",,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,34.2+,u,NE Pacific,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,26,f,California,,fishbase,TL,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,28,m,California,,fishbase,TL,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,29,f,Bering Sea & Aleutian Islands,,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,31,m,E North Pacific,,fishbase,TL,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,33.2,f,Moresby,,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,33.5,f,Goose Is.,,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,33.7,f,"British Columbia, Vancouver Island",,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,34.6,f,Langara,,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,36,f,E North Pacific,,fishbase,TL,
Sebastes alutus,Pacific ocean perch,firstMaturityLength,38.5,f,Rennell Sound,,fishbase,NG,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,5.0-23,f,Queen Charlotte Sound,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,8.0-10.0,u,"NW Pacific, Russia",,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,11.4+,u,"Washington, Queen Charlotte Islands",,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,9.3+,u,NE Pacific,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,7,f,California,,fishbase,,
Sebastes alutus,Pacific ocean perch,firstMaturityAge,7,m,California,,fishbase,,
Sebastes alutus,Pacific ocean perch,lengthMaximum,53,both,,,fishbase,TL,
Sebastes alutus,Pacific ocean perch,lengthMaximum,70,u,GoA,AFSC trawl survey,REEM,,
Sebastes alutus,Pacific ocean perch,ageMaximum,103,both,,,fishbase,,
Sebastes alutus,Pacific ocean perch,ageMaximum,88,m,GoA,AFSC trawl survey,REEM,,
Sebastes alutus,Pacific ocean perch,ageMaximum,114,m,Aleutian Islands,AFSC trawl survey,REEM,,
Sebastes alutus,Pacific ocean perch,K,0.18,both,GoA,,2015 Stock Assessment,,
Sebastes alutus,Pacific ocean perch,K,0.166,both,E Bering & Aleutian Islands,Spencer and Ianelli 2003 ,REEM,,
Sebastes alutus,Pacific ocean perch,K,0.132,both,E Bering,Spencer and Ianelli 2002 (AFSC trawl surveys),REEM,,
Sebastes alutus,Pacific ocean perch,K,0.163,both,Aleutian Islands,Spencer and Ianelli 2002 (AFSC trawl surveys),REEM,,
Sebastes alutus,Pacific ocean perch,K,0.172,m,British Columbia,Archibald et al. 1981 ,REEM,,
Sebastes alutus,Pacific ocean perch,K,0.132,f,British Columbia,Archibald et al. 1981 ,REEM,,
Sebastes alutus,Pacific ocean perch,K,0.097,m,British Columbia,Archibald et al. 1981 ,REEM,,
Sebastes alutus,Pacific ocean perch,K,0.078,f,British Columbia,Archibald et al. 1981 ,REEM,,
Sebastes alutus,Pacific ocean perch,Linfinity,41.2,both,GoA,,2015 Stock Assessment,,
Sebastes alutus,Pacific ocean perch,Linfinity,40.07,both,E Bering & Aleutian Islands,Spencer and Ianelli 2003 ,REEM,,
Sebastes alutus,Pacific ocean perch,Linfinity,40.38,both,E Bering,Spencer and Ianelli 2002 (AFSC trawl surveys),REEM,,
Sebastes alutus,Pacific ocean perch,Linfinity,40.09,both,Aleutian Islands,Spencer and Ianelli 2002 (AFSC trawl surveys),REEM,,
Sebastes alutus,Pacific ocean perch,Linfinity,39.7,m,British Columbia,Archibald et al. 1981 ,REEM,,
