"year","stat6","pounds"
1989,585400,72260
1989,585430,741198
1989,585531,201774
1989,585532,1381934
1989,585601,8216
1989,595400,812790
1989,595431,796058
1989,595433,481
1989,595501,1370585
1989,595502,83944
1989,595503,103142
1989,595504,1182750
1989,595531,140665
1989,595532,2847443
1989,595533,87524
1989,605330,17673
1989,605400,797543
1989,605431,873898
1989,605501,58099
1989,605502,400654
1989,605503,1149751
1989,605504,402999
1989,605506,3046
1989,605507,197230
1989,605531,25541
1989,605532,17945
1989,605535,1263130
1989,615330,84721
1989,615400,949647
1989,615431,28602
1989,615505,4822
1989,625330,193811
1989,625401,5846303
1989,625402,23277051
1989,625433,3053555
1989,625504,33615
1989,635330,431348
1989,635400,109266
1989,635435,157913
1989,635501,2952157
1989,635503,1293691
1989,645331,554633
1989,645401,34214
1989,645405,43538
1989,645502,1661397
1990,230,625535
1990,231,192530
1990,232,106896
1990,240,1753292
1990,241,386399
1990,242,183367
1990,250,4117664
1990,251,113095
1990,260,3912928
1990,261,2014575
1990,270,3854241
1990,271,322937
1990,272,128582
1990,280,3831348
1990,281,463686
1990,290,1295976
1990,291,605466
1990,300,2180480
1990,310,1376533
1990,320,1765012
1990,330,756587
1990,340,358109
1990,350,688630
1990,24820,825
1990,24920,369
1990,445900,393330
1990,445931,265410
1990,445932,3295
1990,446002,1626
1990,455900,1264993
1990,455930,59105
1990,456031,3121
1990,465830,29947
1990,465901,958087
1990,465904,139375
1990,465931,13744
1990,465932,7586
1990,466001,717
1990,466002,31
1990,466003,55062
1990,466004,2315
1990,466031,18677
1990,466032,11112
1990,466033,6900
1990,475730,14451
1990,475800,99661
1990,475830,781301
1990,475900,2959032
1990,475931,1814
1990,475932,11660
1990,475933,52731
1990,476001,880
1990,476003,290537
1990,476004,21087
1990,476005,3166
1990,476006,281553
1990,476007,52645
1990,476008,10689
1990,476031,141254
1990,476032,320661
1990,476033,36231
1990,476034,44308
1990,476035,6668
1990,476036,45
1990,485730,57475
1990,485800,2602959
1990,485831,3616927
1990,485832,652138
1990,485901,172520
1990,485931,84679
1990,485932,195970
1990,486001,3166
1990,486003,5293
1990,486004,299
1990,486005,1475
1990,486031,139573
1990,486032,3760
1990,486033,20721
1990,486034,28848
1990,495700,78919
1990,495730,2198797
1990,495800,395270
1990,495831,255804
1990,495832,144950
1990,495901,248776
1990,495931,45207
1990,495932,3502
1990,495934,226
1990,495938,9061
1990,505630,58340
1990,505700,1407571
1990,505730,608405
1990,505800,7303474
1990,505831,54794
1990,505832,329839
1990,505901,52321
1990,505902,13325
1990,505903,6651
1990,505906,7081
1990,505907,10058
1990,505908,20609
1990,505909,13289
1990,505932,6492
1990,515630,1053106
1990,515700,7231869
1990,515730,15637467
1990,515801,64986
1990,515802,9539790
1990,515831,18401
1990,515832,108378
1990,515833,170386
1990,515901,551
1990,515902,6843
1990,515903,1852
1990,515904,4572
1990,515907,4366
1990,515931,14959
1990,515932,1764
1990,515933,1356
1990,515935,137451
1990,515936,56552
1990,515937,878
1990,525600,2091654
1990,525630,16809012
1990,525701,157724
1990,525702,83498520
1990,525703,508904
1990,525731,2893404
1990,525732,6930698
1990,525733,637377
1990,525801,266276
1990,525802,1171178
1990,525803,15630
1990,525805,492374
1990,525806,652632
1990,525807,14147537
1990,525831,12475
1990,525833,1710
1990,525834,26895
1990,525836,163
1990,525901,317
1990,525902,56534
1990,525931,70509
1990,525932,278
1990,535500,20648
1990,535530,410364
1990,535601,102051
1990,535602,4130494
1990,535631,234920
1990,535632,13110129
1990,535633,46041
1990,535634,144949
1990,535702,54003
1990,535703,896899
1990,535704,162284
1990,535705,403663
1990,535706,29186
1990,535731,565433
1990,535732,1347157
1990,535733,307274
1990,535734,507334
1990,535801,54097
1990,535802,9892266
1990,535803,2690658
1990,535831,148
1990,535834,1588
1990,535903,55403
1990,535931,4912
1990,545500,80911
1990,545530,1258572
1990,545602,1649445
1990,545631,268271
1990,545632,521695
1990,545701,451135
1990,545702,1101880
1990,545703,86334
1990,545731,67333
1990,545732,1971333
1990,545733,282375
1990,545734,1357343
1990,545802,782895
1990,545803,647804
1990,545804,3921377
1990,555500,2816853
1990,555531,123665
1990,555532,2249866
1990,555600,11085121
1990,555630,2120396
1990,555701,34789
1990,555732,2705
1990,555733,11631
1990,565500,2054947
1990,565532,736077
1990,565601,297870
1990,565631,1130
1990,575430,862370
1990,575500,24384
1990,575530,753958
1990,575602,26681
1990,575603,6596
1990,585400,76731
1990,585430,1480949
1990,585500,498290
1990,585532,328384
1990,585601,239630
1990,595400,552573
1990,595431,3060985
1990,595501,9965897
1990,595502,8023
1990,595503,252
1990,595504,1374480
1990,595532,3567726
1990,595533,5818
1990,605400,378321
1990,605431,1432537
1990,605432,45816
1990,605502,31157
1990,605503,1892193
1990,605504,276465
1990,605506,3304
1990,605507,249663
1990,605531,226948
1990,605532,81043
1990,615330,168149
1990,615400,1439064
1990,615431,506129
1990,625330,92123
1990,625401,10257789
1990,625402,24597360
1990,625431,547
1990,625433,1363057
1990,625501,2243
1990,625504,351599
1990,635330,877245
1990,635400,3904117
1990,635501,133956
1990,635503,114077
1990,645331,373984
1990,645401,10969182
1990,645404,146476
1990,645431,81518
1990,645432,327318
1990,645433,246112
1990,645435,356139
1990,645502,21749
1991,230,458084
1991,231,310053
1991,232,141550
1991,240,1185535
1991,241,446150
1991,242,271915
1991,250,2807297
1991,251,193446
1991,260,2157067
1991,261,1570226
1991,270,2859632
1991,271,813163
1991,272,40088
1991,280,2733509
1991,281,744010
1991,290,2179874
1991,291,760876
1991,300,2997626
1991,310,1519430
1991,320,2186900
1991,330,904575
1991,340,691518
1991,350,490044
1991,445900,352995
1991,445931,462714
1991,446001,197
1991,446003,1493
1991,455900,947841
1991,455930,60635
1991,456001,5630
1991,456031,292
1991,465830,20024
1991,465901,1233582
1991,465904,200098
1991,465931,1414
1991,465932,26188
1991,466001,22127
1991,466002,5200
1991,466003,5517
1991,466004,1670
1991,466031,27478
1991,466032,45799
1991,466033,8369
1991,475800,34425
1991,475830,217633
1991,475900,1511653
1991,475931,297147
1991,475932,5438
1991,475933,132176
1991,476001,2132
1991,476002,12910
1991,476003,98768
1991,476004,25368
1991,476005,2420
1991,476006,29700
1991,476007,3638
1991,476008,8313
1991,476009,10330
1991,476031,7402
1991,476032,115102
1991,476033,19891
1991,476034,40104
1991,476035,1991
1991,476036,166
1991,485730,155648
1991,485800,1140778
1991,485831,2094869
1991,485832,505223
1991,485901,320210
1991,485931,447833
1991,485932,1779173
1991,485933,5742
1991,485934,50488
1991,486001,3841
1991,486002,4607
1991,486005,308
1991,486031,28895
1991,486032,2180
1991,486033,16863
1991,486034,721
1991,495700,85341
1991,495730,1707938
1991,495800,790925
1991,495831,527727
1991,495832,442735
1991,495901,1436159
1991,495902,2873
1991,495931,1551099
1991,495932,220594
1991,495933,1565
1991,495934,8261
1991,495936,27007
1991,495938,15728
1991,496002,402
1991,505700,1915821
1991,505730,1969469
1991,505800,6470187
1991,505831,165990
1991,505832,328628
1991,505901,1430494
1991,505902,272143
1991,505903,396139
1991,505904,57081
1991,505907,56452
1991,505908,73549
1991,505932,26069
1991,515600,112242
1991,515630,1661487
1991,515700,12975657
1991,515730,13541556
1991,515801,60209
1991,515802,3632741
1991,515831,357355
1991,515832,83968
1991,515833,9117
1991,515901,87727
1991,515902,289620
1991,515903,65414
1991,515904,39574
1991,515905,13834
1991,515906,8409
1991,515907,252668
1991,515908,14070
