"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
36796,-156.42772,55.83287,-400.4105654,5679.836473,14
36797,-156.39579,55.83352,-398.4205054,5679.724262,14
36798,-156.36386,55.83416,-396.4304472,5679.612007,14
36799,-156.33193,55.8348,-394.4403909,5679.49971,14
36800,-156.3,55.83542,-392.4503363,5679.387369,14
36801,-156.26806,55.83604,-390.4602836,5679.274986,14
36802,-156.23613,55.83665,-388.4702327,5679.16256,14
36803,-156.20419,55.83725,-386.4801837,5679.050091,14
36804,-156.17226,55.83784,-384.4901366,5678.937579,14
36805,-156.14032,55.83842,-382.5000913,5678.825025,14
36806,-156.10838,55.839,-380.5100479,5678.712427,14
36807,-156.07644,55.83956,-378.5200064,5678.599787,14
36808,-156.0445,55.84012,-376.5299668,5678.487104,14
36809,-156.01256,55.84067,-374.5399291,5678.374378,14
37049,-156.84407,55.84154,-426.1679457,5683.294904,14
37050,-156.81214,55.84231,-424.1778331,5683.183247,14
37051,-156.78021,55.84306,-422.1877223,5683.071548,14
37052,-156.74828,55.84381,-420.1976131,5682.959805,14
37053,-156.71634,55.84455,-418.2075057,5682.84802,14
37054,-156.68441,55.84528,-416.2173999,5682.736192,14
37055,-156.65247,55.846,-414.2272959,5682.624321,14
37056,-156.62054,55.84671,-412.2371937,5682.512407,14
37057,-156.5886,55.84741,-410.2470931,5682.40045,14
37058,-156.55666,55.84811,-408.2569944,5682.28845,14
37059,-156.52472,55.8488,-406.2668974,5682.176408,14
37060,-156.49278,55.84947,-404.2768021,5682.064322,14
37061,-156.46084,55.85014,-402.2867087,5681.952194,14
37062,-156.42889,55.8508,-400.296617,5681.840023,14
37063,-156.39695,55.85145,-398.3065271,5681.727809,14
37064,-156.365,55.8521,-396.3164391,5681.615552,14
37065,-156.33305,55.85273,-394.3263528,5681.503252,14
37066,-156.30111,55.85336,-392.3362684,5681.39091,14
37067,-156.26916,55.85398,-390.3461858,5681.278524,14
37068,-156.23721,55.85458,-388.356105,5681.166096,14
37069,-156.20525,55.85518,-386.3660261,5681.053624,14
37070,-156.1733,55.85578,-384.3759491,5680.94111,14
37071,-156.14135,55.85636,-382.3858739,5680.828554,14
37072,-156.10939,55.85693,-380.3958006,5680.715954,14
37073,-156.07744,55.8575,-378.4057292,5680.603311,14
37074,-156.04548,55.85805,-376.4156596,5680.490626,14
37075,-156.01353,55.8586,-374.425592,5680.377897,14
37316,-156.84544,55.85947,-426.0543908,5685.298454,14
37317,-156.81349,55.86024,-424.0642484,5685.186795,14
37318,-156.78155,55.86099,-422.0741076,5685.075093,14
37319,-156.7496,55.86174,-420.0839686,5684.963349,14
37320,-156.71765,55.86248,-418.0938313,5684.851561,14
37321,-156.6857,55.86321,-416.1036957,5684.73973,14
37322,-156.65375,55.86393,-414.1135618,5684.627857,14
37323,-156.6218,55.86464,-412.1234297,5684.515941,14
37324,-156.58985,55.86534,-410.1332992,5684.403981,14
37325,-156.55789,55.86604,-408.1431706,5684.291979,14
37326,-156.52594,55.86673,-406.1530437,5684.179934,14
37327,-156.49398,55.8674,-404.1629185,5684.067847,14
37328,-156.46202,55.86807,-402.1727952,5683.955716,14
37329,-156.43006,55.86873,-400.1826736,5683.843542,14
37330,-156.3981,55.86939,-398.1925538,5683.731326,14
37331,-156.36614,55.87003,-396.2024358,5683.619067,14
37332,-156.33418,55.87066,-394.2123196,5683.506765,14
37333,-156.30221,55.87129,-392.2222053,5683.39442,14
37334,-156.27025,55.87191,-390.2320927,5683.282032,14
37335,-156.23828,55.87252,-388.2419821,5683.169601,14
37336,-156.20632,55.87312,-386.2518732,5683.057128,14
37337,-156.17435,55.87371,-384.2617662,5682.944612,14
37338,-156.14238,55.87429,-382.2716611,5682.832052,14
37339,-156.11041,55.87487,-380.2815578,5682.71945,14
37340,-156.07844,55.87543,-378.2914565,5682.606805,14
37341,-156.04647,55.87599,-376.301357,5682.494118,14
37585,-156.87877,55.87663,-427.9310154,5687.413594,14
37586,-156.84681,55.8774,-425.9408414,5687.301975,14
37587,-156.81485,55.87816,-423.9506691,5687.190314,14
37588,-156.78289,55.87892,-421.9604985,5687.078609,14
37589,-156.75092,55.87967,-419.9703296,5686.966862,14
37590,-156.71896,55.88041,-417.9801623,5686.855072,14
37591,-156.68699,55.88114,-415.9899968,5686.743239,14
37592,-156.65503,55.88186,-413.999833,5686.631363,14
37593,-156.62306,55.88257,-412.0096709,5686.519444,14
37594,-156.59109,55.88327,-410.0195106,5686.407483,14
37595,-156.55912,55.88397,-408.029352,5686.295478,14
37596,-156.52715,55.88466,-406.0391951,5686.183431,14
37597,-156.49518,55.88534,-404.04904,5686.071341,14
37598,-156.46321,55.886,-402.0588867,5685.959208,14
37599,-156.43123,55.88667,-400.0687352,5685.847032,14
37600,-156.39926,55.88732,-398.0785854,5685.734813,14
37601,-156.36728,55.88796,-396.0884375,5685.622552,14
37602,-156.3353,55.8886,-394.0982913,5685.510247,14
