"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area","depth"
20395,-158.60567,54.81389,-549.636192669438,5581.56392380568,1,-128,-135,1,135
20752,-158.01769,54.85398,-511.739118203487,5581.49103999335,1,-110,-127,1,127
18944,-160.88239,54.62735,-697.242228561083,5581.48637441234,1,-113,-126,1,126
18583,-161.46328,54.57266,-735.136717983314,5581.48198444635,1,-90,-100,1,100
19305,-160.29989,54.67908,-659.347176831592,5581.47494493499,1,-99,-100,1,100
18225,-162.04249,54.51502,-773.030627738448,5581.46175745077,1,-145,-144,1,144
20396,-158.57464,54.81514,-547.647528925104,5581.45494101439,1,-145,-147,1,147
20753,-157.98662,54.85506,-509.750457815615,5581.38123236489,1,-121,-131,1,131
18945,-160.8516,54.62921,-695.253570282907,5581.38061237817,1,-112,-129,1,129
18584,-161.43257,54.57467,-733.148063739147,5581.37705144873,1,-80,-99,1,99
19306,-160.26904,54.68078,-657.358515756537,5581.36835475725,1,-96,-90,1,90
18226,-162.01185,54.51718,-771.041978611868,5581.35765438706,1,-147,-145,1,145
20397,-158.54361,54.81637,-545.658866752655,5581.34591491486,1,-147,-148,1,148
18946,-160.82081,54.63105,-693.264913228813,5581.27480687177,1,-115,-129,1,129
18585,-161.40185,54.57667,-731.159410646754,5581.27207493394,1,-73,-94,1,94
20754,-157.95554,54.85613,-507.761799104502,5581.27138146559,1,-110,-138,1,138
19307,-160.23818,54.68247,-655.369855985227,5581.26172115136,1,-94,-83,1,83
18227,-161.98121,54.51934,-769.053330572409,5581.25350776078,1,-147,-145,1,145
17875,-162.55881,54.45907,-806.946658483465,5581.21908791509,1,-124,-63,1,63
18947,-160.79002,54.63289,-691.276257403278,5581.16895789531,1,-116,-132,1,132
18586,-161.37113,54.57867,-729.170758710243,5581.16705490422,1,-89,-92,1,92
20755,-157.92446,54.8572,-505.773142076116,5581.16148729711,1,-119,-147,1,147
19308,-160.20732,54.68415,-653.381197522486,5581.15504411942,1,-90,-73,1,73
18228,-161.95057,54.52149,-767.064683623801,5581.14931757422,1,-146,-145,1,145
17876,-162.52825,54.46138,-804.958017463642,5581.11572846558,1,-129,-121,1,121
18948,-160.75922,54.63472,-689.2876028108,5581.06306545098,1,-113,-134,1,134
18587,-161.34041,54.58066,-727.182107933756,5581.06199136181,1,-114,-89,1,89
19309,-160.17646,54.68582,-651.392540373153,5581.04832366354,1,-89,-68,1,68
18229,-161.91992,54.52364,-765.076037769808,5581.04508382964,1,-146,-144,1,144
18949,-160.72843,54.63654,-687.298949455888,5580.95712954095,1,-108,-134,1,134
18588,-161.30968,54.58264,-725.193458321431,5580.95688430894,1,-111,-88,1,88
